Rank Name Score Finish Time Q1 (4) Q2 (6) Q3 (7) Q4 (10)
66|JohnsonTau|17|1:38:34|1:23:34|3|0:36:02|0|1:04:13|0|-1|-1|
67|vince7938|17|1:39:42|0:58:38|1|0:21:15|2|1:24:42|0|-1|-1|
68|meezoo|17|1:39:53|1:29:53|0|0:40:34|1|1:09:27|1|-1|-1|
69|jianan.zhang.3|17|1:41:20|0:20:46|2|0:50:14|2|1:21:20|0|-1|-1|
70|twjeric|17|1:41:34|1:12:07|3|0:38:32|0|1:21:34|1|-1|-1|
71|jamescao|17|1:45:12|0:30:35|2|1:25:12|2|0:48:08|0|-1|-1|
72|ericcire|17|1:45:31|1:25:31|2|0:19:32|2|0:51:40|0|-1|-1|
73|charliemeng|17|1:47:53|0:22:07|1|0:56:24|2|1:27:53|1|-1|-1|
74|LaughingWithWallace|17|2:00:00|1:11:43|2|0:58:54|5|1:25:00|0|-1|-1|
75|2499370956|17|2:01:36|1:21:36|5|0:33:48|3|0:48:22|0|-1|-1|
76|han3do|17|2:10:20|0:34:43|6|0:56:50|0|1:25:20|3|-1|-1|
77|Luffly|17|2:13:13|0:16:04|3|0:59:05|2|1:28:13|4|-1|-1|
78|bribri|17|3:14:44|0:26:48|2|0:49:29|1|1:24:44|19|-1|-1|
79|abcdefat|16|1:17:47|-1|-1|1:12:47|0|-1|-1|0:54:33|1|
80|Zhikai1993|16|1:29:59|-1|-1|1:14:59|1|-1|-1|0:43:45|2|
81|LvChonChon|16|1:41:53|-1|-1|0:31:31|2|-1|-1|1:26:53|1|
82|szp14|16|1:43:01|-1|-1|0:17:52|2|-1|-1|1:23:01|2|
83|olgoster|14|0:52:14|0:17:16|0|-1|-1|-1|-1|0:47:14|1|
84|shibly|14|1:37:22|0:43:43|1|-1|-1|-1|-1|1:27:22|1|
85|jenniezheng|13|0:45:36|-1|-1|0:15:01|0|0:45:36|0|-1|-1|
86|Berwyn|13|0:49:07|-1|-1|0:30:42|1|0:44:07|0|-1|-1|
87|daisylei|13|0:51:52|-1|-1|0:41:02|0|0:51:52|0|-1|-1|
88|maxxxm|13|0:55:39|-1|-1|0:33:04|1|0:50:39|0|-1|-1|
89|qwnjc|13|0:56:32|-1|-1|0:23:43|0|0:51:32|1|-1|-1|
90|facelessvoid|13|0:56:43|-1|-1|0:37:52|1|0:51:43|0|-1|-1|
91|dut200901102|13|0:58:03|-1|-1|0:30:11|0|0:58:03|0|-1|-1|
