Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
64|poorpool|18|0:35:38|0:01:12|0|0:10:34|0|0:15:23|0|0:35:38|0|
65|skqliiiao|18|0:35:45|0:00:49|0|0:11:54|0|0:24:01|0|0:35:45|0|
66|hughstudy-n|18|0:35:57|0:02:04|0|0:10:37|0|0:15:36|0|0:35:57|0|
67|ichiro9025|18|0:36:19|0:02:02|0|0:07:40|0|0:24:05|0|0:36:19|0|
68|CE_RE_WAyitiaolong|18|0:36:20|0:01:15|0|0:09:56|0|0:16:41|0|0:31:20|1|
69|lavoisier|18|0:36:25|0:01:02|0|0:05:39|0|0:16:20|0|0:36:25|0|
70|lxhgww|18|0:36:28|0:01:11|0|0:06:10|0|0:12:18|0|0:31:28|1|
71|ddoudle|18|0:36:43|0:02:15|0|0:12:38|0|0:26:25|0|0:36:43|0|
72|Yoks1729|18|0:36:54|0:01:10|0|0:06:20|0|0:18:54|0|0:36:54|0|
73|mufti|18|0:37:08|0:01:14|0|0:05:16|0|0:09:01|0|0:37:08|0|
74|vuluy|18|0:37:18|0:02:57|0|0:07:34|0|0:18:26|0|0:37:18|0|
75|cutecaidd|18|0:37:21|0:01:18|0|0:09:41|0|0:19:47|1|0:32:21|0|
76|tmoux|18|0:37:37|0:00:54|0|0:06:39|0|0:14:24|0|0:32:37|1|
77|tabr|18|0:37:46|0:01:57|0|0:06:00|0|0:12:09|0|0:22:46|3|
78|stardustdl|18|0:37:55|0:36:37|0|0:36:47|0|0:37:16|0|0:37:55|0|
79|owen2|18|0:38:03|0:02:36|0|0:38:03|0|0:14:47|0|0:23:48|0|
80|XKTZ|18|0:38:10|0:01:34|0|0:04:41|0|0:10:54|1|0:33:10|0|
81|osr|18|0:38:13|0:00:57|0|0:26:09|0|0:16:47|0|0:33:13|1|
82|entropymaker|18|0:38:18|0:01:18|0|0:04:35|0|0:14:36|0|0:38:18|0|
83|qiye-5|18|0:38:22|0:01:39|0|0:06:54|0|0:11:45|0|0:33:22|1|
84|bai-du-ren-a|18|0:38:31|0:01:28|0|0:09:38|0|0:23:44|0|0:38:31|0|
85|delphih|18|0:38:35|0:01:12|0|0:12:14|0|0:21:12|1|0:28:35|1|
86|qqwqert007|18|0:38:39|0:00:56|0|0:06:29|0|0:10:45|0|0:33:39|1|
87|liouzhou_101|18|0:38:46|0:01:02|0|0:03:56|0|0:10:57|0|0:38:46|0|
88|megurine|18|0:39:21|0:01:00|0|0:06:34|0|0:10:42|0|0:34:21|1|
89|NEU20133823|18|0:39:46|0:01:17|0|0:09:08|0|0:19:35|0|0:34:46|1|
90|please_AC|18|0:40:13|0:03:00|0|0:14:04|0|0:22:43|2|0:30:13|0|
