Rank Name Score Finish Time Q1 (3) Q2 (6) Q3 (6) Q4 (6)
65|EmmanuelGoldstein|21|1:25:23|0:09:46|0|1:20:23|0|1:06:00|1|0:28:14|0|
66|zurl|21|1:26:04|0:04:06|0|0:32:40|0|1:26:04|0|0:21:14|0|
67|facelessvoid|21|1:26:06|0:10:26|0|1:11:06|3|1:02:56|0|0:51:16|0|
68|magica|21|1:26:19|0:08:22|0|0:58:50|1|0:32:15|2|1:11:19|0|
69|ryanwang|21|1:29:31|0:12:36|0|0:40:36|1|1:07:09|1|1:19:31|0|
70|hsiu|21|1:29:43|0:35:36|0|0:53:35|1|1:05:24|1|1:19:43|0|
71|biltharesatyendra|21|1:31:00|0:05:25|0|0:25:26|0|1:21:00|2|0:40:06|0|
72|liuyuchen0921|21|1:31:11|0:04:17|0|0:34:43|3|1:06:11|2|1:01:56|0|
73|xiaoliurice|21|1:31:24|0:21:11|0|1:26:24|1|0:31:57|0|0:54:10|0|
74|awfover|21|1:31:42|0:06:06|0|1:16:42|1|0:26:16|1|0:49:29|1|
75|A_Pinterest_Employee|21|1:32:43|0:06:13|0|0:25:03|4|0:36:41|0|1:07:43|1|
76|kangbb|21|1:33:08|0:04:59|0|0:23:10|1|0:54:08|5|1:03:08|0|
77|szfck|21|1:33:13|0:14:07|0|1:13:13|2|0:53:46|1|1:04:20|1|
78|suzyzhang|21|1:33:46|0:08:17|0|1:21:06|0|1:28:46|0|0:50:54|1|
79|osamamohamed|21|1:33:57|0:07:59|0|1:23:57|1|0:25:29|1|0:45:46|0|
80|abcdefat|21|1:34:24|1:29:24|0|1:26:30|0|1:09:23|1|0:25:39|0|
81|talkscheap|21|1:35:11|0:10:39|1|1:25:11|0|0:53:09|0|0:37:48|1|
82|NBZCC|21|1:36:08|0:04:35|0|0:44:37|0|0:53:05|1|1:21:08|2|
83|figfig|21|1:36:43|0:11:42|1|0:47:16|3|0:19:55|2|1:01:43|1|
84|shifucarryme|21|1:37:17|0:08:19|1|0:34:28|1|1:02:24|2|1:17:17|0|
85|hubo1016|21|1:37:19|0:04:07|0|1:12:19|4|0:13:35|1|0:47:38|0|
86|pkucoin|21|1:37:38|0:04:11|0|0:38:52|1|1:27:38|1|1:12:52|0|
87|hirokazu1020|21|1:37:53|0:08:26|0|1:17:53|0|0:36:27|3|1:05:25|1|
88|terranw|21|1:38:14|0:07:27|0|0:48:06|1|1:28:14|0|1:15:23|1|
89|OTTFF|21|1:41:19|0:04:30|0|0:58:49|3|1:26:19|0|0:16:53|0|
90|kai-chieh|21|1:41:24|0:06:32|0|0:50:17|2|1:15:06|2|1:21:24|0|
91|tanghaibao|21|1:42:27|0:05:01|0|0:53:54|2|1:07:17|0|1:27:27|1|
92|lagoonzxy|21|1:43:16|0:15:37|0|1:00:32|6|0:13:00|0|1:13:16|0|
93|narut|21|1:44:01|0:08:32|1|1:14:16|1|1:29:01|1|0:42:57|0|
94|liuyubobobo|21|1:44:03|0:11:22|0|0:30:57|2|1:19:03|1|1:09:15|2|
95|guzh870423|21|1:44:19|0:08:40|0|0:33:27|1|1:29:19|2|1:14:39|0|
96|belmaiastar1|21|1:45:15|0:21:51|0|0:19:37|1|1:25:15|3|0:48:00|0|
97|dtong|21|1:45:18|0:10:08|1|0:44:59|4|1:08:58|0|1:20:18|0|
98|morphism|21|1:49:49|0:05:08|0|0:26:25|3|0:45:25|1|1:29:49|0|
99|Sakuzyo|21|1:50:51|0:47:00|0|1:20:51|3|0:30:21|0|0:38:42|3|
100|raincoat911|21|1:51:51|0:05:22|0|1:06:21|1|1:26:51|3|0:29:07|1|
101|ProKingsley|21|1:54:16|0:03:15|0|0:55:05|2|1:11:23|1|1:29:16|2|
102|chanyichih0806|21|1:54:21|0:13:24|0|0:39:02|6|1:19:21|0|1:05:45|1|
103|baluteshih|21|1:54:24|0:05:37|0|0:30:29|2|0:38:01|0|1:09:24|7|
104|paulwater|21|1:54:28|0:03:44|0|0:50:16|4|1:19:08|1|1:29:28|0|
105|yangmei555|21|1:54:33|0:06:45|0|0:39:33|0|1:29:33|4|1:16:53|1|
106|oreo2|21|2:00:45|0:06:52|0|0:29:00|0|1:25:45|6|1:14:17|1|
107|tiesto1114|21|2:15:43|0:04:40|0|1:05:54|3|0:40:22|7|1:25:43|0|
108|XBB_HOME|21|2:19:19|0:14:33|0|1:24:19|4|0:59:38|3|1:17:35|4|
109|miss|21|2:23:54|0:03:54|0|0:45:08|4|1:14:10|7|1:28:54|0|
110|qwnjc|15|0:32:17|0:04:17|0|0:17:49|0|-1|-1|0:32:17|0|
