Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
64|Ujimatsu_Chiya|18|1:08:27|0:02:38|0|0:06:24|0|0:41:22|0|1:03:27|1|
65|danile53|18|1:08:42|0:05:54|0|0:13:27|0|0:31:57|1|1:03:42|0|
66|cijin|18|1:08:44|0:02:03|0|0:10:06|0|0:25:34|0|0:58:44|2|
67|beamind|18|1:08:45|0:03:19|0|0:07:55|0|0:32:26|0|1:03:45|1|
68|wnjxyk|18|1:08:59|0:02:34|0|0:10:08|0|0:28:35|1|0:48:59|3|
69|rgb234rgb|18|1:09:29|0:02:11|0|0:07:45|2|0:23:50|0|0:49:29|2|
70|megaspazz|18|1:10:22|0:02:49|0|0:08:49|0|1:05:22|1|0:55:24|0|
71|ddmike|18|1:11:03|0:02:47|0|0:08:42|0|0:22:01|0|0:56:03|3|
72|Hibbert|18|1:11:09|0:02:20|0|0:08:00|0|0:24:02|0|1:01:09|2|
73|jdshen|18|1:11:22|0:03:14|0|0:10:12|0|0:30:11|1|0:56:22|2|
74|tabr|18|1:12:34|0:03:12|1|0:08:39|1|0:18:00|0|0:42:34|4|
75|Minori|18|1:12:35|0:02:23|0|0:09:11|1|0:23:39|0|1:02:35|1|
76|knarf|18|1:13:05|0:02:27|0|0:13:34|1|0:35:41|1|0:58:05|1|
77|boringleetcode|18|1:13:15|0:02:08|0|0:10:13|0|0:36:19|1|1:08:15|0|
78|Arucade|18|1:13:42|0:02:47|0|0:08:12|1|0:32:47|2|0:58:42|0|
79|mcy4ever|18|1:13:58|0:07:00|0|0:13:31|0|0:27:23|1|1:08:58|0|
80|Xiaohao1211|18|1:14:06|0:02:00|0|0:07:04|0|1:09:06|1|0:33:13|0|
81|rajdetroja|18|1:14:30|0:04:13|0|0:11:58|0|0:38:21|0|1:04:30|2|
82|hum|18|1:14:45|0:03:29|0|0:12:42|1|0:36:11|1|1:04:45|0|
83|simpleson|18|1:14:56|0:02:37|0|0:09:09|0|0:37:53|1|1:04:56|1|
84|XuhuiWang|18|1:15:09|0:08:30|2|0:14:14|0|0:30:41|0|0:55:09|2|
85|maxd-3|18|1:15:09|0:01:45|0|0:08:25|1|0:38:51|2|0:55:09|1|
86|bedlam|18|1:15:34|0:03:16|0|0:11:28|0|0:45:59|0|1:10:34|1|
87|bipinpathak|18|1:15:56|0:01:53|0|0:08:17|0|0:35:19|2|1:05:56|0|
88|HIT_TOM|18|1:17:08|0:11:35|0|0:18:23|0|0:38:56|0|1:12:08|1|
89|tanakat01|18|1:18:00|0:02:44|0|0:09:07|0|1:08:00|2|1:04:36|0|
90|payall4u|18|1:18:30|0:03:27|0|0:17:07|1|0:41:12|1|1:03:30|1|
91|sammyRe|18|1:18:32|0:04:35|0|0:11:41|0|0:38:38|1|1:08:32|1|
92|liulx15|18|1:18:48|0:03:29|0|0:09:36|0|0:45:01|2|1:03:48|1|
93|superj|18|1:19:05|0:54:05|0|0:52:37|0|0:47:34|0|0:36:42|5|
94|YoungForest|18|1:19:18|0:02:50|0|0:11:21|0|0:36:27|1|1:04:18|2|
95|vkgames|18|1:19:30|0:02:06|0|0:07:23|1|0:40:22|2|0:54:30|2|
96|preeyadarshee|18|1:19:47|0:02:45|0|0:11:28|0|1:04:47|2|1:01:27|1|
97|lucifer1005|18|1:20:11|0:01:46|0|0:04:53|0|0:51:08|1|1:15:11|0|
98|acvv_choufeng|18|1:20:17|0:45:17|0|0:43:36|1|0:23:04|4|0:33:54|2|
99|danzhi|18|1:20:20|0:03:58|0|0:10:10|0|0:30:43|0|1:20:20|0|
100|QAMichaelPeng|18|1:20:32|0:01:48|0|0:07:35|0|0:19:29|0|1:20:32|0|
101|Marmaduke|18|1:20:48|0:02:20|0|0:14:03|0|0:36:28|1|1:05:48|2|
102|13075702199|18|1:21:28|0:05:01|0|0:14:43|0|0:31:36|0|1:06:28|3|
103|nyu_ldf|18|1:21:35|0:15:15|0|0:18:46|0|0:59:34|1|1:16:35|0|
104|nakari1124|18|1:21:41|0:02:19|0|0:10:05|0|0:38:26|1|1:06:41|2|
105|ga-beng-cui-7|18|1:21:57|0:02:25|0|0:09:12|0|0:35:43|1|1:06:57|2|
106|yaroslav-repeta|18|1:22:16|0:02:10|0|0:07:00|0|0:20:27|1|1:12:16|1|
107|foorest|18|1:23:50|0:01:49|0|0:07:10|0|0:23:41|1|1:13:50|1|
108|zoulc|18|1:25:58|0:10:06|1|0:23:23|0|1:00:42|1|1:15:58|0|
109|ctzsm|18|1:26:16|0:04:47|0|0:12:17|0|0:29:41|0|1:21:16|1|
110|szfck|18|1:26:21|0:25:53|0|0:33:41|0|1:02:29|0|1:26:21|0|
111|wlhz-t|18|1:26:46|0:18:25|0|0:27:05|0|1:16:46|2|0:39:54|0|
112|endlesscheng|18|1:27:03|0:03:06|0|0:10:56|2|0:35:45|2|1:02:03|1|
113|han3000|18|1:27:59|0:03:55|0|0:08:47|0|0:23:34|0|1:12:59|3|
114|Tanguilol|18|1:28:00|0:02:57|0|0:09:42|0|0:34:44|0|1:28:00|0|
115|kikokiko|18|1:28:57|0:02:35|1|0:07:53|0|0:27:52|0|1:03:57|4|
116|markxyb|18|1:28:58|0:02:45|0|0:12:10|1|0:28:16|0|1:08:58|3|
117|LayCurse|18|1:29:17|0:01:31|0|0:05:42|0|0:15:19|0|1:19:17|2|
118|huntersjm|18|1:29:19|0:02:35|0|0:08:24|1|0:21:38|1|1:14:19|1|
119|YuranN|18|1:29:22|0:01:59|0|0:08:33|0|0:29:24|0|1:19:22|2|
120|abhidot|18|1:29:26|0:05:09|0|0:11:10|0|0:23:00|0|1:14:26|3|
121|Ahykw|18|1:29:27|0:03:15|0|0:10:06|1|0:33:32|2|1:14:27|0|
122|quange|18|1:30:03|0:03:06|0|0:18:48|1|0:47:52|0|1:25:03|0|
123|Dshawn|18|1:30:10|0:01:53|0|0:08:55|1|0:58:11|0|1:20:10|1|
124|xish|18|1:30:19|0:05:34|0|0:12:22|0|0:56:12|2|1:20:19|0|
125|half-empty|18|1:30:27|0:05:42|0|0:12:03|0|0:35:13|0|1:20:27|2|
126|anhpp|18|1:30:36|0:01:57|0|0:06:52|0|0:34:35|1|1:10:36|3|
127|Amarsanaa|18|1:30:38|0:02:56|0|0:17:10|1|0:42:40|1|1:15:38|1|
128|baihai|18|1:30:59|0:02:21|0|0:09:29|0|0:29:50|0|1:15:59|3|
129|jcfernandez|18|1:31:11|0:01:41|0|0:06:12|0|0:17:25|0|1:16:11|3|
130|yswdra|18|1:31:15|0:03:39|0|0:11:26|0|0:34:22|0|1:26:15|1|
131|apassbydreg_code|18|1:31:24|0:03:15|0|0:06:27|0|0:21:47|2|0:56:24|5|
132|K_kkkyle|18|1:31:33|0:01:36|0|0:10:57|2|0:51:19|2|1:01:33|2|
133|quitomos|18|1:31:39|0:01:45|0|0:07:32|0|0:33:05|1|1:01:39|5|
134|LosingNowLosingLate|18|1:32:16|0:02:41|1|0:07:21|1|0:29:08|1|0:52:16|5|
135|catnipan|18|1:32:23|0:02:03|0|0:10:21|0|0:44:03|2|1:22:23|0|
136|zrts|18|1:33:08|0:05:06|2|0:13:49|2|0:36:55|1|1:03:08|1|
137|chuan-chih|18|1:33:10|0:03:49|0|0:12:18|0|0:32:12|0|1:18:10|3|
138|zd88884096|18|1:33:30|0:10:22|0|0:15:56|0|1:07:42|2|1:23:30|0|
139|qingping|18|1:34:14|0:06:06|0|0:17:43|0|0:46:42|2|1:24:14|0|
140|carotwang|18|1:34:31|0:02:04|0|0:09:56|1|0:31:40|2|1:14:31|1|
141|DenisGubar|18|1:34:37|0:02:05|0|1:00:13|0|1:08:01|0|1:29:37|1|
142|xiems|18|1:34:38|1:09:38|0|1:06:45|0|1:01:05|2|0:34:49|3|
143|pramitb|18|1:34:52|0:10:34|0|0:18:28|0|0:40:24|0|1:29:52|1|
144|Acane|18|1:35:24|0:05:47|0|0:11:05|0|0:53:09|2|1:25:24|0|
145|yext|18|1:35:57|0:02:13|0|0:15:59|2|0:40:24|0|1:15:57|2|
146|love-a-wild-horse|18|1:36:05|0:02:39|0|0:13:03|2|0:47:39|2|1:11:05|1|
147|chenreddy0207|18|1:37:16|0:14:04|0|0:26:39|0|1:27:16|0|1:03:24|2|
148|Jy_Tan|18|1:37:29|0:02:16|0|0:11:16|1|0:28:57|0|1:12:29|4|
149|tommyjiang|18|1:38:01|0:02:10|0|0:09:11|0|0:36:22|1|1:23:01|2|
150|ztllng|18|1:38:27|0:03:57|0|0:11:43|1|0:55:45|3|1:18:27|0|
151|aging|18|1:38:28|0:01:38|0|0:06:49|0|0:21:58|0|1:08:28|6|
152|ferrarima|18|1:39:05|0:02:12|0|0:08:55|1|1:09:05|3|0:59:40|2|
153|lky-d|18|1:39:33|0:02:10|0|0:16:02|0|0:52:40|1|1:29:33|1|
154|zdu011|18|1:40:35|0:02:20|0|0:08:49|0|0:33:12|2|1:05:35|5|
155|Rayleigh0328|18|1:41:39|0:07:38|0|0:17:46|0|0:54:53|2|1:16:39|3|
156|Acepted|18|1:41:49|0:07:53|1|0:16:39|1|0:42:52|1|1:06:49|4|
157|ddoudle|18|1:41:55|0:02:31|0|0:13:35|0|0:39:58|1|1:21:55|3|
158|MaskRay|18|1:41:56|0:17:27|0|0:17:43|0|1:08:19|2|1:11:56|4|
159|ShidaLei|18|1:42:12|0:02:22|0|0:08:14|0|0:57:15|4|1:07:12|3|
160|harttle|18|1:43:44|0:03:03|0|0:08:04|0|1:28:44|1|1:17:51|2|
161|zhenguowcs|18|1:44:32|0:01:55|0|0:08:25|0|0:20:08|0|1:19:32|5|
162|Asagi|18|1:44:45|0:05:42|0|0:13:23|0|0:40:10|2|1:24:45|2|
163|kiradiso|18|1:45:37|0:04:48|1|0:19:00|2|0:46:27|1|1:20:37|1|
164|orthogonal1|18|1:45:38|0:03:30|0|0:09:39|0|0:54:16|2|1:25:38|2|
165|yuhsiangliu|18|1:46:13|0:02:25|0|0:08:18|0|0:17:07|0|1:21:13|5|
166|piscesdream-7|18|1:47:24|0:04:13|1|0:11:48|1|0:25:28|1|1:07:24|5|
167|atf|18|1:47:39|0:01:57|0|0:11:14|1|0:38:59|1|1:27:39|2|
168|hughstudy-n|18|1:47:51|0:09:08|0|0:13:02|0|0:30:25|1|1:27:51|3|
169|firee|18|1:48:24|0:06:26|0|0:19:28|2|0:34:02|1|1:08:24|5|
170|liuyubobobo|18|1:48:54|0:07:18|0|0:16:17|1|0:58:02|3|1:18:54|2|
171|inszva-2|18|1:49:04|0:02:25|0|0:09:24|1|0:16:18|0|1:29:04|3|
172|leolee|18|1:50:23|0:02:18|0|0:10:24|2|0:33:32|2|1:15:23|3|
173|hamsik|18|1:50:51|0:02:01|0|0:09:51|1|0:33:37|1|1:25:51|3|
174|ChangXingJiang|18|1:53:04|0:02:47|0|0:07:02|1|0:18:37|1|1:18:04|5|
175|blackskygg|18|1:53:47|0:02:43|0|0:13:15|0|0:55:22|3|1:18:47|4|
176|sylxjtu|18|1:54:16|0:01:45|0|0:05:28|0|0:15:37|1|1:29:16|4|
177|Kude|18|1:54:29|0:02:09|0|0:07:30|0|0:25:06|1|1:29:29|4|
178|PikaChi|18|1:54:39|0:03:13|0|0:11:44|0|0:32:18|1|1:19:39|6|
179|CUIJIAHAO|18|1:55:29|0:02:32|0|0:09:07|0|0:58:40|3|1:20:29|4|
180|ArtemL1|18|1:56:14|0:04:04|0|0:13:23|0|1:01:52|4|1:26:14|2|
181|rea1|18|1:59:32|0:03:29|0|0:10:39|1|0:39:26|2|1:14:32|6|
182|chen_xi_|18|2:05:38|0:05:25|0|0:13:23|0|0:36:04|0|1:25:38|8|
183|yiwiy|18|2:05:59|0:03:40|0|1:25:59|0|0:22:48|0|1:17:34|8|
184|bruceyuj|18|2:07:43|0:02:32|0|0:08:17|0|0:44:03|3|1:27:43|5|
185|baily-r|18|2:09:39|0:03:55|0|0:11:31|0|0:44:07|0|1:29:39|8|
186|john_shelvin|18|2:11:22|0:06:10|1|0:12:25|0|0:39:15|1|1:11:22|10|
187|fan-cai|18|2:14:28|0:03:12|0|0:07:59|0|1:09:46|2|1:29:28|7|
188|winter_dragon|18|2:19:05|0:01:19|0|0:10:44|0|0:26:33|0|1:29:05|10|
189|liuzhi3434|18|2:23:18|0:01:41|0|0:06:34|1|0:53:58|4|1:28:18|6|
190|jatinjiogarg|18|2:26:33|0:04:51|0|0:54:06|4|0:50:21|4|1:21:33|5|
191|mban259|13|0:41:24|0:02:30|0|0:07:16|0|-1|-1|0:41:24|0|
192|user8787Y|13|0:51:14|0:10:22|0|0:07:12|0|-1|-1|0:46:14|1|
193|hai-mian-li-de-shui|13|1:00:40|0:04:11|0|0:17:10|0|-1|-1|1:00:40|0|
194|zyf-17|13|1:13:33|0:06:15|0|0:30:17|0|-1|-1|1:13:33|0|
195|choo_s|13|1:14:52|0:02:36|0|0:08:52|0|-1|-1|1:04:52|2|
196|Ariana|13|1:18:39|0:08:12|0|0:15:40|0|-1|-1|1:18:39|0|
197|olimpo|13|1:20:19|0:04:38|0|0:12:09|0|-1|-1|1:20:19|0|
198|amano-sei|13|1:21:55|0:14:53|0|0:24:24|0|-1|-1|1:11:55|2|
199|crystalia|13|1:22:35|0:02:27|0|0:12:05|0|-1|-1|1:12:35|2|
200|DansGame|13|1:27:14|0:04:13|0|0:10:02|0|-1|-1|1:17:14|2|
201|cpz-c|13|1:28:10|0:52:50|0|1:01:47|0|-1|-1|1:23:10|1|
