Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
65|liuliuii-m|18|0:33:46|0:03:50|0|0:11:24|0|0:26:43|0|0:33:46|0|
66|mtewathia99|18|0:34:01|0:02:37|0|0:08:38|1|0:18:21|0|0:29:01|0|
67|Eser|18|0:34:02|0:02:14|0|0:12:21|0|0:25:45|0|0:34:02|0|
68|tian-tang-6|18|0:34:30|0:02:10|0|0:10:07|0|0:23:14|1|0:29:30|0|
69|dettier|18|0:34:56|0:01:23|0|0:08:58|0|0:23:05|1|0:29:56|0|
70|dacdodinh99|18|0:34:56|0:01:35|0|0:06:12|0|0:15:40|1|0:29:56|0|
71|shayash72|18|0:35:11|0:01:28|0|0:06:18|1|0:14:05|1|0:25:11|0|
72|noxe|18|0:35:16|0:01:12|0|0:25:46|0|0:30:16|0|0:22:35|1|
73|ychzhou|18|0:35:22|0:02:04|0|0:14:59|0|0:28:28|0|0:35:22|0|
74|Ujimatsu_Chiya|18|0:35:44|0:03:42|0|0:08:47|0|0:18:13|1|0:25:44|1|
75|xing89qs|18|0:36:12|0:26:12|0|0:23:59|0|0:18:09|2|0:08:02|0|
76|w285714|18|0:36:17|0:01:02|0|0:06:40|0|0:16:48|2|0:26:17|0|
77|ahsu198|18|0:36:39|0:01:52|0|0:09:57|0|0:26:18|1|0:31:39|0|
78|dskloet|18|0:37:23|0:01:56|0|0:09:16|0|0:23:28|1|0:32:23|0|
79|DickLearning|18|0:37:31|0:01:41|0|0:07:53|0|0:12:50|1|0:32:31|0|
80|nagabhushan|18|0:37:44|0:01:29|0|0:11:24|1|0:22:24|1|0:27:44|0|
81|delphih|18|0:37:53|0:02:00|0|0:08:55|0|0:28:35|0|0:37:53|0|
82|TryoneTry|18|0:38:07|0:01:34|0|0:11:05|1|0:19:40|0|0:33:07|0|
83|aijmas|18|0:38:29|0:28:29|0|0:26:37|0|0:21:55|2|0:04:52|0|
84|keep__calm|18|0:38:43|0:01:49|0|0:05:48|1|0:18:25|2|0:23:43|0|
85|HanaYukii|18|0:39:12|0:02:43|0|0:08:03|1|0:14:56|0|0:34:12|0|
86|maester_|18|0:39:16|0:02:13|0|0:11:47|0|0:23:52|0|0:39:16|0|
87|cuiaoxiang|18|0:39:30|0:01:19|0|0:07:26|0|0:19:09|3|0:24:30|0|
88|besieger|18|0:40:20|0:32:14|0|0:35:20|0|0:22:13|0|0:27:04|1|
89|arjitkansal|18|0:40:41|0:01:39|0|0:11:03|0|0:26:04|1|0:35:41|0|
90|lee0560|18|0:40:49|0:02:55|0|0:11:01|0|0:19:16|1|0:30:49|1|
91|modi_nitin13|18|0:41:01|0:02:23|0|0:09:20|0|0:24:48|0|0:36:01|1|
92|arignote|18|0:41:30|0:03:27|0|0:18:30|0|0:34:10|0|0:41:30|0|
93|MartyByrde|18|0:41:40|0:03:39|0|0:13:03|0|0:28:23|0|0:41:40|0|
94|hegupta|18|0:41:49|0:02:19|0|0:11:40|1|0:36:49|0|0:24:46|0|
95|marmot0814|18|0:42:07|0:01:10|0|0:13:27|0|0:25:10|1|0:37:07|0|
96|happyleetcode|18|0:42:12|0:01:20|0|0:08:48|0|0:37:12|0|0:24:13|1|
97|nociIantro|18|0:42:34|0:03:03|0|0:11:24|0|0:29:11|0|0:42:34|0|
98|kangbb|18|0:42:39|0:01:47|0|0:10:29|0|0:31:16|1|0:37:39|0|
99|737|18|0:42:41|0:00:59|0|0:07:50|1|0:20:53|1|0:32:41|0|
100|hieptk|18|0:42:45|0:01:01|0|0:05:34|0|0:22:08|2|0:32:45|0|
101|deepak022|18|0:42:46|0:10:39|0|0:22:51|0|0:30:06|0|0:42:46|0|
102|please_AC|18|0:42:53|0:01:45|0|0:07:09|0|0:22:45|2|0:32:53|0|
103|evanlb|18|0:43:03|0:02:22|0|0:17:42|0|0:30:32|0|0:43:03|0|
104|apoorv1999|18|0:43:06|0:01:42|0|0:11:04|0|0:31:14|0|0:43:06|0|
105|mu-ming-7|18|0:43:10|0:01:54|0|0:08:28|0|0:24:29|1|0:38:10|0|
106|minz-2|18|0:43:12|0:01:45|0|0:08:28|1|0:24:03|0|0:38:12|0|
107|YoungForest|18|0:43:29|0:03:15|0|0:12:46|0|0:28:52|1|0:38:29|0|
108|_DAle_|18|0:43:47|0:01:55|0|0:13:55|0|0:29:38|1|0:38:47|0|
109|Mip182|18|0:43:48|0:01:42|0|0:28:48|2|0:17:41|0|0:26:14|1|
