Rank Name Score Finish Time Q1 (4) Q2 (4) Q3 (7) Q4 (9)
65|tylerwang|20|1:38:11|1:38:11|0|-1|-1|1:26:18|0|1:26:05|0|
66|superluminal|17|1:06:22|0:21:58|1|0:23:46|0|-1|-1|1:01:22|0|
67|ryx|17|1:28:51|1:28:51|0|0:21:54|0|-1|-1|1:24:28|0|
68|job5|17|1:39:16|0:31:36|1|0:55:46|1|-1|-1|1:29:16|0|
69|QAMichaelPeng|17|1:43:36|0:24:57|0|0:30:25|0|-1|-1|1:38:36|1|
70|xfcherish|17|1:43:47|0:35:36|2|0:49:42|1|-1|-1|1:28:47|0|
71|hsiu|17|1:50:51|0:28:29|1|0:44:27|3|-1|-1|1:30:51|0|
72|myCafeBabe|17|1:54:44|0:30:14|0|0:47:24|0|-1|-1|1:44:44|2|
73|shdut|16|1:20:42|-1|-1|-1|-1|1:15:42|1|1:07:55|0|
74|facelessvoid|15|0:33:42|0:33:42|0|0:24:23|0|0:26:54|0|-1|-1|
75|lihuoran|15|0:44:08|0:18:32|0|0:23:57|0|0:34:08|2|-1|-1|
76|lazyhaze|15|0:44:47|0:23:13|0|0:33:33|0|0:44:47|0|-1|-1|
77|rogerz343|15|0:51:49|0:25:03|0|0:18:57|0|0:46:49|1|-1|-1|
78|lixx2100|15|0:51:52|0:20:29|0|0:31:13|0|0:51:52|0|-1|-1|
79|spcharc|15|0:56:34|0:20:50|0|0:32:00|1|0:41:34|2|-1|-1|
80|loftnova|15|0:56:47|0:21:52|0|0:26:39|0|0:51:47|1|-1|-1|
81|cai_lw|15|0:56:49|0:35:21|0|0:41:49|1|0:31:07|2|-1|-1|
82|vitorvgc|15|0:57:04|0:22:14|0|0:42:55|0|0:57:04|0|-1|-1|
83|guosiyi1997|15|0:57:54|0:24:51|0|0:35:09|0|0:57:54|0|-1|-1|
84|zhoubowei|15|0:58:20|0:28:30|0|0:38:20|0|0:53:20|1|-1|-1|
85|kumalimak|15|0:59:32|0:28:03|0|0:44:33|0|0:59:32|0|-1|-1|
86|lz1199|15|1:00:34|0:30:59|1|0:34:57|0|0:55:34|0|-1|-1|
87|8939123|15|1:00:36|0:20:33|0|0:24:43|0|0:45:36|3|-1|-1|
88|xn1990114|15|1:00:54|0:18:29|0|0:45:54|1|0:37:16|2|-1|-1|
89|zerotrac2|15|1:01:03|0:48:34|0|0:47:55|0|1:01:03|0|-1|-1|
90|sunshine7031|15|1:01:50|0:22:14|0|0:35:31|0|0:56:50|1|-1|-1|
91|Corgo|15|1:02:04|0:43:41|0|0:57:04|0|0:31:46|1|-1|-1|
92|xisaaxx|15|1:04:30|0:29:27|0|0:48:55|0|1:04:30|0|-1|-1|
93|code_report|15|1:05:02|0:19:50|0|0:29:47|1|1:00:02|0|-1|-1|
94|bb123n4|15|1:05:12|0:24:19|0|0:51:15|0|1:05:12|0|-1|-1|
95|mopriestt|15|1:05:13|0:24:43|0|0:38:13|0|1:05:13|0|-1|-1|
96|Akatsuki_|15|1:05:16|0:41:50|0|0:47:49|0|1:05:16|0|-1|-1|
97|knightzf|15|1:06:14|0:20:55|0|0:37:58|0|1:06:14|0|-1|-1|
98|oLMHo|15|1:06:31|0:26:17|1|0:39:55|0|1:01:31|0|-1|-1|
99|youjump|15|1:06:46|0:25:23|0|0:34:46|0|0:56:46|2|-1|-1|
100|oreo2|15|1:07:21|0:30:29|1|0:36:36|0|0:57:21|1|-1|-1|
101|codeascxk|15|1:07:36|0:32:21|1|0:41:42|0|1:02:36|0|-1|-1|
102|ZYCSwing|15|1:07:37|0:22:33|0|0:32:29|0|1:07:37|0|-1|-1|
103|jiang696|15|1:08:23|0:31:19|0|0:21:08|1|1:03:23|0|-1|-1|
104|zhutianqi|15|1:08:26|0:27:48|0|0:36:49|0|1:03:26|1|-1|-1|
105|vrqq|15|1:08:40|0:27:52|0|0:43:54|0|1:08:40|0|-1|-1|
106|daisylei|15|1:09:17|0:33:18|1|0:23:47|0|0:54:17|2|-1|-1|
107|harshranjan069|15|1:09:30|0:20:11|0|0:33:25|1|0:59:30|1|-1|-1|
108|daltao|15|1:09:54|0:39:25|0|0:49:54|2|0:35:21|2|-1|-1|
109|pchen76|15|1:10:32|0:36:40|0|0:40:32|0|1:05:32|1|-1|-1|
110|jariasf|15|1:11:20|0:24:46|0|0:32:31|0|1:11:20|0|-1|-1|
111|scau_grated|15|1:11:32|0:31:05|0|0:46:27|0|1:06:32|1|-1|-1|
112|weiheng3|15|1:12:15|0:31:11|0|0:44:16|0|1:07:15|1|-1|-1|
113|houa|15|1:14:12|0:21:32|0|0:33:53|0|1:14:12|0|-1|-1|
114|hehejun|15|1:15:24|0:31:38|0|0:43:29|0|1:10:24|1|-1|-1|
115|lorylin|15|1:15:29|0:25:00|0|0:46:44|0|1:15:29|0|-1|-1|
116|Liwink|15|1:15:34|0:35:20|1|0:45:06|0|1:05:34|1|-1|-1|
117|ynchsung|15|1:16:03|0:22:22|0|1:06:03|0|0:52:12|2|-1|-1|
118|chunhuiliu960|15|1:16:23|1:16:23|0|0:29:47|0|0:52:18|0|-1|-1|
119|LuckyPants|15|1:16:48|0:28:25|0|0:33:55|0|1:01:48|3|-1|-1|
120|gluino|15|1:17:02|0:39:41|0|0:29:25|0|1:12:02|1|-1|-1|
121|mlx89q1xs|15|1:17:42|0:27:42|0|0:47:48|1|1:12:42|0|-1|-1|
122|yuncong|15|1:17:54|0:30:58|0|0:40:34|0|1:17:54|0|-1|-1|
123|daem02|15|1:17:59|0:23:17|0|0:39:47|1|1:07:59|1|-1|-1|
124|takanashiyj|15|1:18:04|0:27:35|0|0:38:31|0|1:08:04|2|-1|-1|
125|raychencmu|15|1:18:29|0:22:59|0|0:46:52|1|1:13:29|0|-1|-1|
126|ccloudy|15|1:18:54|0:28:49|1|0:42:27|0|1:03:54|2|-1|-1|
127|ProKingsley|15|1:19:04|0:19:44|0|0:44:26|1|1:09:04|1|-1|-1|
128|greenmoon55|15|1:19:12|0:27:46|1|0:39:24|1|0:59:12|2|-1|-1|
129|patrickm|15|1:19:19|0:20:18|0|0:28:18|0|1:14:19|1|-1|-1|
130|hubo1016|15|1:19:20|0:46:57|1|0:56:08|0|1:14:20|0|-1|-1|
131|XuhuiWang|15|1:19:44|0:34:27|1|0:20:14|0|0:59:44|3|-1|-1|
132|BluesZhang|15|1:19:45|0:21:56|0|0:34:53|0|1:14:45|1|-1|-1|
133|xie8|15|1:19:53|0:26:18|0|0:41:30|3|0:54:53|2|-1|-1|
134|NewbieIntern|15|1:20:18|0:31:03|1|0:46:10|0|1:15:18|0|-1|-1|
135|xhuaoe|15|1:20:25|0:30:05|0|0:22:28|0|1:00:25|4|-1|-1|
136|lagoonzxy|15|1:20:30|0:31:01|0|0:40:55|0|1:05:30|3|-1|-1|
137|aiyujie|15|1:20:30|0:31:45|0|1:20:30|0|1:00:38|0|-1|-1|
138|hetang|15|1:21:01|0:28:56|0|0:56:49|0|1:21:01|0|-1|-1|
139|luxy622|15|1:21:22|0:33:27|0|0:48:07|2|1:11:22|0|-1|-1|
140|nearSGB|15|1:21:28|0:29:16|0|0:57:36|1|1:16:28|0|-1|-1|
141|talkscheap|15|1:21:31|0:36:37|0|0:29:20|0|1:06:31|3|-1|-1|
142|1nkling|15|1:21:34|0:53:50|1|1:11:34|1|0:28:04|0|-1|-1|
143|happyleetcode|15|1:21:42|0:26:54|1|1:01:42|1|0:51:41|2|-1|-1|
