Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
64|jinmingli|18|0:32:45|0:02:19|0|0:04:33|1|0:22:45|1|0:19:21|0|
65|tiger2005|18|0:32:52|0:01:14|0|0:02:30|0|0:27:52|0|0:24:08|1|
66|gooday-3|18|0:32:56|0:02:14|0|0:04:33|0|0:15:05|1|0:27:56|0|
67|friedall|18|0:33:03|0:02:17|0|0:04:08|0|0:16:39|1|0:28:03|0|
68|milesian-c|18|0:33:08|0:01:56|0|0:03:53|0|0:07:23|0|0:28:08|1|
69|raincoat911|18|0:33:09|0:02:00|0|0:04:04|0|0:12:32|0|0:28:09|1|
70|fxfxxxfxx|18|0:33:15|0:02:39|0|0:04:47|0|0:13:05|1|0:28:15|0|
71|newhar|18|0:33:26|0:03:16|0|0:06:10|0|0:18:51|0|0:33:26|0|
72|contests|18|0:33:32|0:02:08|0|0:06:22|0|0:16:12|0|0:33:32|0|
73|mkawa222|18|0:33:33|0:07:01|0|0:09:34|0|0:18:39|0|0:33:33|0|
74|NEU20133823|18|0:33:55|0:02:46|0|0:04:34|0|0:11:00|0|0:28:55|1|
75|megurine|18|0:33:58|0:01:30|0|0:04:02|0|0:14:31|1|0:28:58|0|
76|zdkk|18|0:34:45|0:01:24|0|0:05:53|0|0:09:09|0|0:29:45|1|
77|shaletome|18|0:35:00|0:02:05|0|0:08:26|1|0:12:47|0|0:25:00|1|
78|hughstudy-n|18|0:35:11|0:03:53|0|0:07:12|0|0:20:11|0|0:35:11|0|
79|sepehry|18|0:35:40|0:02:35|0|0:05:11|0|0:13:42|0|0:35:40|0|
80|siganai|18|0:35:56|0:04:20|0|0:06:26|0|0:15:07|1|0:25:56|1|
81|sveng101|18|0:36:03|0:03:23|0|0:07:46|0|0:19:15|0|0:31:03|1|
82|swingy|18|0:36:34|0:02:52|0|0:05:29|0|0:18:41|0|0:36:34|0|
83|aging|18|0:36:45|0:01:28|0|0:02:50|1|0:08:53|1|0:16:45|2|
84|AnujJadhav|18|0:36:48|0:03:21|0|0:17:43|1|0:11:29|0|0:31:48|0|
85|please_AC|18|0:36:48|0:03:55|0|0:08:39|0|0:14:25|0|0:36:48|0|
86|lozy219|18|0:36:52|0:13:09|0|0:11:04|0|0:09:13|1|0:31:52|0|
87|pandix73|18|0:37:12|0:02:50|0|0:14:32|0|0:12:47|0|0:37:12|0|
88|rosso01|18|0:37:19|0:03:05|0|0:05:37|0|0:15:41|0|0:32:19|1|
89|ctrlalt|18|0:37:19|0:03:18|0|0:05:07|0|0:14:59|1|0:32:19|0|
90|Satj|18|0:37:26|0:37:26|0|0:35:12|0|0:32:21|0|0:25:00|0|
91|hehaodele|18|0:37:45|0:32:45|0|0:28:03|0|0:25:41|0|0:18:30|1|
92|meng-hsuan|18|0:37:46|0:03:48|0|0:05:34|0|0:15:32|0|0:37:46|0|
93|lichen-7i|18|0:37:56|0:02:37|0|0:05:08|0|0:13:33|0|0:32:56|1|
94|Jy_Tan|18|0:38:13|0:02:43|0|0:05:06|0|0:16:19|0|0:38:13|0|
95|chuan-chih|18|0:38:13|0:03:48|0|0:06:09|0|0:17:49|0|0:38:13|0|
96|qiye-5|18|0:38:26|0:02:40|0|0:04:53|0|0:14:05|1|0:33:26|0|
97|emthrm|18|0:38:44|0:01:58|0|0:03:31|0|0:10:23|0|0:33:44|1|
98|ding-fei-5|18|0:39:05|0:01:57|0|0:04:12|0|0:14:51|1|0:34:05|0|
99|xi-jun-xiao-zi|18|0:39:09|0:01:41|0|0:03:39|0|0:21:26|1|0:34:09|0|
100|tanakat01|18|0:39:10|0:04:47|0|0:07:37|0|0:16:39|1|0:34:10|0|
101|lddlinan|18|0:39:30|0:01:02|0|0:02:44|0|0:10:23|0|0:29:30|2|
102|513487012|18|0:39:39|0:05:54|0|0:09:06|0|0:17:14|0|0:39:39|0|
103|mouryasatyam|18|0:40:31|0:17:28|0|0:14:26|0|0:11:00|0|0:35:31|1|
104|TianZai|18|0:40:41|0:03:34|0|0:06:04|0|0:09:39|0|0:35:41|1|
105|jeffreyhu8|18|0:40:41|0:02:44|0|0:04:23|0|0:18:39|1|0:35:41|0|
106|Jesko|18|0:40:42|0:02:40|0|0:07:06|1|0:19:30|0|0:35:42|0|
107|user3517H|18|0:40:46|0:04:28|0|0:09:00|2|0:12:46|0|0:25:46|1|
108|dumbunny8128|18|0:41:10|0:02:37|0|0:05:06|0|0:18:16|0|0:41:10|0|
109|keen-brattainrwe|18|0:41:34|0:02:03|0|0:05:07|0|0:18:00|0|0:41:34|0|
110|yuan-zhi-b|18|0:41:37|0:01:35|0|0:06:04|0|0:21:48|0|0:41:37|0|
111|rigAngle|18|0:41:38|0:02:02|0|0:21:56|0|0:10:59|0|0:36:38|1|
112|huang-peng-yu-t|18|0:41:49|0:02:15|0|0:05:20|0|0:21:26|1|0:36:49|0|
113|Eclecticity|18|0:41:58|0:03:44|0|0:06:33|0|0:16:09|0|0:41:58|0|
114|du0san84|18|0:42:10|0:05:17|0|0:08:15|0|0:21:21|1|0:37:10|0|
115|levy0834|18|0:42:23|0:07:09|0|0:10:31|0|0:16:29|0|0:37:23|1|
116|meul|18|0:42:50|0:03:02|0|0:05:31|1|0:37:50|0|0:30:41|0|
117|yurikaka|18|0:43:06|0:01:48|0|0:04:09|0|0:26:27|0|0:43:06|0|
118|xing-xing-599|18|0:43:26|0:05:50|0|0:09:30|0|0:19:19|0|0:38:26|1|
119|Maruzensky|18|0:43:26|0:05:35|0|0:07:12|0|0:14:11|0|0:38:26|1|
120|Andwerp|18|0:43:49|0:01:43|0|0:05:58|2|0:12:12|1|0:28:49|0|
121|silvernarcissus|18|0:43:59|0:01:59|0|0:05:36|0|0:13:56|1|0:33:59|1|
122|ydnl|18|0:44:06|0:02:59|0|0:06:49|0|0:16:30|1|0:39:06|0|
123|xie-bin-o|18|0:44:07|0:02:15|0|0:06:35|0|0:18:25|1|0:39:07|0|
124|ryandgoldenberg1|18|0:44:10|0:04:24|0|0:06:45|0|0:38:13|0|0:44:10|0|
125|Unwise|18|0:44:10|0:03:22|0|0:06:17|1|0:10:23|0|0:34:10|1|
126|charmanders|18|0:44:18|0:03:10|0|0:05:54|1|0:20:16|0|0:39:18|0|
127|cksp|18|0:44:30|0:34:30|0|0:32:46|1|0:31:28|0|0:22:28|1|
128|NegativeIndex|18|0:44:33|0:03:06|0|0:06:29|0|0:30:00|0|0:44:33|0|
129|tanmay_raj_29|18|0:44:40|0:02:02|0|0:06:43|1|0:13:40|1|0:24:40|2|
130|yiqunoy|18|0:44:46|0:03:45|0|0:07:25|0|0:15:10|0|0:44:46|0|
131|desserty|18|0:44:46|0:01:38|0|0:03:38|1|0:06:31|0|0:29:46|2|
132|lu-chen-chen|18|0:45:09|0:03:21|0|0:06:02|0|0:21:28|2|0:35:09|0|
133|EagleEyeKestrel|18|0:45:10|0:35:10|0|0:35:00|0|0:34:52|1|0:29:20|1|
134|hell_hopper|18|0:46:19|0:07:20|0|0:09:28|0|0:14:17|0|0:41:19|1|
135|leetcode_3604|18|0:46:22|0:36:22|0|0:32:58|1|0:29:29|0|0:20:12|1|
