Rank Name Score Finish Time Q1 (3) Q2 (5) Q3 (5) Q4 (7)
67|kzyKT|13|0:36:14|0:01:34|0|0:04:15|0|0:26:14|2|-1|-1|
68|kkys|13|0:36:25|0:06:34|0|0:14:05|0|0:36:25|0|-1|-1|
69|dmlocdmloc|13|0:36:30|0:03:12|0|0:11:44|0|0:36:30|0|-1|-1|
70|xi-jun-xiao-zi|13|0:36:43|0:01:30|0|0:07:38|0|0:36:43|0|-1|-1|
71|junruiw|13|0:36:46|0:02:04|0|0:06:58|0|0:36:46|0|-1|-1|
72|h_bugw7|13|0:37:04|0:01:27|0|0:06:23|1|0:32:04|0|-1|-1|
73|4dalols|13|0:37:05|0:27:05|0|0:25:49|2|0:20:13|0|-1|-1|
74|da22ling-mccarthyejg|13|0:37:14|0:02:21|0|0:11:51|0|0:32:14|1|-1|-1|
75|watashi|13|0:37:24|0:01:27|0|0:10:20|1|0:32:24|0|-1|-1|
76|cheng-liang-yu|13|0:38:04|0:01:17|0|0:11:22|0|0:38:04|0|-1|-1|
77|yi-zhi-bao-zi-h|13|0:38:34|0:35:57|0|0:38:34|0|0:35:04|0|-1|-1|
78|rithwikgupta|13|0:38:40|0:33:40|0|0:32:34|1|0:29:06|0|-1|-1|
79|yzkkai|13|0:38:49|0:02:37|0|0:07:06|0|0:38:49|0|-1|-1|
80|astthecoder|13|0:39:07|0:06:12|0|0:12:48|1|0:34:07|0|-1|-1|
81|bnlvv|13|0:39:22|0:01:57|0|0:07:34|0|0:34:22|1|-1|-1|
82|balakrishnan_v|13|0:39:28|0:14:23|0|0:18:17|0|0:34:28|1|-1|-1|
83|wei-she-ming|13|0:39:29|0:01:38|0|0:04:42|0|0:39:29|0|-1|-1|
84|Superultra|13|0:39:33|0:39:33|0|0:37:53|0|0:31:26|0|-1|-1|
85|hhhyh|13|0:39:48|0:01:32|0|0:04:55|0|0:34:48|1|-1|-1|
86|M-Manas-s|13|0:39:56|0:02:26|0|0:12:23|1|0:34:56|0|-1|-1|
87|66glory-CUNY|13|0:40:37|0:35:37|0|0:35:27|0|0:35:18|1|-1|-1|
88|wangdh15|13|0:41:01|0:02:26|0|0:10:38|0|0:41:01|0|-1|-1|
89|hkmaxi|13|0:41:16|0:01:30|0|0:07:47|0|0:41:16|0|-1|-1|
90|laughing-parepvg|13|0:41:22|0:01:03|0|0:03:15|0|0:36:22|1|-1|-1|
91|ethanrao|13|0:41:42|0:17:34|0|0:19:21|0|0:41:42|0|-1|-1|
92|MKLOL|13|0:41:43|0:41:43|0|0:40:31|0|0:37:59|0|-1|-1|
93|paigulong|13|0:41:44|0:18:28|0|0:18:39|0|0:36:44|1|-1|-1|
94|zhouzl|13|0:41:54|0:02:39|0|0:13:55|0|0:41:54|0|-1|-1|
95|meyi|13|0:41:57|0:00:51|0|0:26:57|3|0:15:23|0|-1|-1|
96|jszqlew|13|0:42:07|0:08:51|0|0:07:18|0|0:42:07|0|-1|-1|
97|megaspazz|13|0:42:24|0:01:22|0|0:04:26|0|0:37:24|1|-1|-1|
98|jlallas384|13|0:42:42|0:01:44|0|0:08:14|0|0:42:42|0|-1|-1|
99|trchen|13|0:42:42|0:02:34|0|0:09:17|1|0:37:42|0|-1|-1|
100|camillacui|13|0:42:45|0:09:32|0|0:12:36|1|0:27:45|2|-1|-1|
101|kailam11223|13|0:42:51|0:02:44|0|0:15:10|1|0:37:51|0|-1|-1|
102|Harshkriplani|13|0:42:58|0:01:46|0|0:07:21|0|0:42:58|0|-1|-1|
103|scanhex|13|0:43:10|0:33:10|0|0:32:06|1|0:26:31|1|-1|-1|
104|Atg_|13|0:43:27|0:01:59|0|0:07:41|0|0:43:27|0|-1|-1|
105|hty50|13|0:43:50|0:43:50|0|0:43:13|0|0:41:58|0|-1|-1|
106|BaoziiO_o|13|0:43:54|0:01:49|0|0:10:21|1|0:33:54|1|-1|-1|
107|zhou2003|13|0:44:01|0:21:35|0|0:20:34|0|0:44:01|0|-1|-1|
108|chenreddy0207|13|0:44:03|0:01:36|0|0:39:03|0|0:25:12|1|-1|-1|
109|deadRabbit|13|0:44:08|0:01:31|0|0:05:24|0|0:44:08|0|-1|-1|
110|pipixia-9527|13|0:44:09|0:03:31|0|0:09:42|0|0:44:09|0|-1|-1|
111|harttle|13|0:44:11|0:03:57|0|0:10:51|0|0:44:11|0|-1|-1|
112|jamshedmd1111|13|0:44:54|0:01:26|0|0:09:19|1|0:39:54|0|-1|-1|
113|VarunR|13|0:45:04|0:00:53|0|0:04:13|0|0:40:04|1|-1|-1|
114|ni-hong-ge|13|0:45:15|0:02:13|0|0:07:24|0|0:45:15|0|-1|-1|
115|ernestlu|13|0:45:17|0:21:58|0|0:20:05|0|0:45:17|0|-1|-1|
116|nifeshe|13|0:45:29|0:02:28|0|0:06:47|0|0:40:29|1|-1|-1|
117|vibrant-mayerhct|13|0:45:32|0:01:04|0|0:04:17|0|0:45:32|0|-1|-1|
118|hanzhoutang|13|0:45:41|0:01:32|0|0:08:00|0|0:45:41|0|-1|-1|
119|a_good_loser|13|0:45:45|0:01:21|0|0:16:56|0|0:40:45|1|-1|-1|
120|fan-fan-fan-a9|13|0:45:46|0:01:53|0|0:05:36|0|0:45:46|0|-1|-1|
121|zeldahuang|13|0:45:50|0:03:41|0|0:14:50|0|0:40:50|1|-1|-1|
122|VILLANOVA_ECON|13|0:46:26|0:01:20|0|0:06:31|1|0:41:26|0|-1|-1|
123|MeetBrahmbhatt|13|0:46:27|0:46:27|0|0:46:18|0|0:46:11|0|-1|-1|
124|tang-yuan-yuan-bu-yuan|13|0:46:32|0:02:40|0|0:16:21|2|0:36:32|0|-1|-1|
125|gaoyf1235|13|0:46:36|0:02:19|0|0:05:56|0|0:46:36|0|-1|-1|
126|rejudge_thiz|13|0:46:37|0:01:37|0|0:04:54|0|0:46:37|0|-1|-1|
127|wddd|13|0:46:59|0:02:34|0|0:10:01|0|0:46:59|0|-1|-1|
128|sunsq|13|0:47:05|0:01:53|0|0:05:03|0|0:47:05|0|-1|-1|
129|megurine|13|0:47:06|0:01:55|0|0:10:58|0|0:47:06|0|-1|-1|
130|competent-i3ardeend6g|13|0:47:14|0:03:06|0|0:07:51|0|0:47:14|0|-1|-1|
131|REED_W|13|0:47:22|0:02:46|0|0:12:19|0|0:47:22|0|-1|-1|
132|qb_2008|13|0:47:34|0:07:09|0|0:14:38|0|0:47:34|0|-1|-1|
133|qian-fu-zai-qqde-wei-xin|13|0:47:42|0:02:50|0|0:07:00|0|0:47:42|0|-1|-1|
134|yisongluo|13|0:47:53|0:32:53|0|0:31:34|2|0:16:25|1|-1|-1|
135|lee0560|13|0:47:54|0:01:56|0|0:07:50|0|0:47:54|0|-1|-1|
136|Jay_1729|13|0:47:55|0:04:57|0|0:08:11|0|0:42:55|1|-1|-1|
137|dreamy-i3eaver9xt|13|0:48:06|0:01:56|0|0:06:17|0|0:43:06|1|-1|-1|
138|Dan13llljws|13|0:48:06|0:01:33|0|0:08:44|2|0:33:06|1|-1|-1|
139|jian-shen-_|13|0:48:32|0:01:43|0|0:06:30|0|0:43:32|1|-1|-1|
140|PlumsLC|13|0:48:35|0:01:49|0|0:06:55|0|0:43:35|1|-1|-1|
141|nevergiveup|13|0:48:43|0:02:06|0|0:09:04|1|0:43:43|0|-1|-1|
142|kirya2604|13|0:48:43|0:02:37|0|0:10:06|0|0:48:43|0|-1|-1|
143|cai_lw|13|0:49:05|0:00:55|0|0:08:24|1|0:44:05|0|-1|-1|
144|kigerwoo|13|0:49:10|0:02:14|0|0:07:58|1|0:39:10|1|-1|-1|
145|kexp|13|0:49:13|0:03:25|0|0:13:22|0|0:49:13|0|-1|-1|
146|uwi|13|0:49:28|0:03:29|0|0:02:13|0|0:44:28|1|-1|-1|
147|yangxm|13|0:49:44|0:02:49|0|0:12:21|2|0:39:44|0|-1|-1|
148|liulx15|13|0:49:47|0:02:05|0|0:05:38|0|0:44:47|1|-1|-1|
149|anuragmudgil00|13|0:49:53|0:01:38|0|0:09:03|0|0:39:53|2|-1|-1|
150|cybsbbbb|13|0:50:03|0:01:46|0|0:08:13|0|0:40:03|2|-1|-1|
151|jushuai_lfx|13|0:50:12|0:02:01|0|0:07:32|0|0:50:12|0|-1|-1|
152|onlyblues|13|0:50:26|0:02:10|0|0:13:16|0|0:45:26|1|-1|-1|
153|_Fake4Fun|13|0:50:30|0:06:22|0|0:04:55|1|0:45:30|0|-1|-1|
154|Sanath_Kulla|13|0:50:47|0:01:40|0|0:12:10|0|0:50:47|0|-1|-1|
155|yin-xing-mai-ming-zhu-m|13|0:50:59|0:02:02|0|0:09:14|0|0:50:59|0|-1|-1|
156|bai-ci-2m|13|0:51:03|0:01:47|0|0:10:20|0|0:51:03|0|-1|-1|
157|jiangjinjinyxt|13|0:51:04|0:01:55|0|0:07:41|0|0:51:04|0|-1|-1|
158|user5976fh|13|0:51:10|0:01:56|0|0:14:42|0|0:46:10|1|-1|-1|
159|didwhddks|13|0:51:20|0:02:19|0|0:14:33|1|0:41:20|1|-1|-1|
160|skyinde2|13|0:51:22|0:02:03|0|0:09:54|1|0:46:22|0|-1|-1|
161|Jy_Tan|13|0:51:33|0:02:22|0|0:13:44|0|0:51:33|0|-1|-1|
162|jwseph|13|0:51:34|0:01:07|0|0:05:40|0|0:46:34|1|-1|-1|
