Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (5)
65|necoramen|17|0:22:17|0:02:01|0|0:05:29|0|0:16:42|0|0:22:17|0|
66|foorest|17|0:22:23|0:02:07|0|0:05:16|0|0:09:47|0|0:17:23|1|
67|xyz_zhzho|17|0:22:31|0:01:20|0|0:04:29|0|0:15:46|0|0:22:31|0|
68|nthistle|17|0:22:34|0:00:58|0|0:04:13|0|0:11:20|1|0:17:34|0|
69|luchy0120|17|0:22:35|0:02:36|0|0:05:47|0|0:10:43|1|0:17:35|0|
70|xyzzzzzzzz|17|0:22:56|0:01:56|0|0:06:09|0|0:19:24|0|0:22:56|0|
71|zxyl|17|0:23:09|0:00:54|0|0:02:15|0|0:04:47|0|0:13:09|2|
72|sserxhs|17|0:23:26|0:01:34|0|0:05:03|2|0:08:48|0|0:13:26|0|
73|azukun|17|0:23:31|0:01:40|0|0:04:38|0|0:09:44|0|0:23:31|0|
74|huxiaokang|17|0:23:32|0:02:43|0|0:05:17|0|0:15:13|0|0:23:32|0|
75|chenjianxu97|17|0:23:37|0:02:12|0|0:05:12|0|0:09:27|1|0:13:37|1|
76|rign-LR7Rq2TRuq|17|0:23:45|0:01:17|0|0:04:26|1|0:09:52|0|0:18:45|0|
77|Ujimatsu_Chiya|17|0:23:53|0:01:43|0|0:07:20|0|0:13:31|1|0:18:53|0|
78|endlesscheng|17|0:24:17|0:01:40|0|0:03:33|0|0:07:02|1|0:19:17|0|
79|2499370956|17|0:24:23|0:02:22|0|0:04:51|0|0:12:33|0|0:24:23|0|
80|roaris|17|0:24:25|0:01:54|0|0:03:52|0|0:09:03|0|0:24:25|0|
81|wyj20154348|17|0:24:31|0:01:49|0|0:04:36|0|0:19:31|0|0:14:04|1|
82|Dshawn|17|0:24:35|0:01:56|0|0:08:01|0|0:16:48|0|0:24:35|0|
83|BlackpinkLisa|17|0:24:37|0:02:06|0|0:05:32|0|0:11:59|0|0:19:37|1|
84|qqwqert007-5|17|0:24:49|0:01:51|0|0:08:00|0|0:13:52|0|0:24:49|0|
85|superj|17|0:24:59|0:02:03|0|0:04:47|1|0:15:45|0|0:19:59|0|
86|polonez|17|0:24:59|0:02:27|0|0:05:42|0|0:13:56|0|0:19:59|1|
87|Justwayyouare|17|0:25:11|0:02:51|0|0:05:54|0|0:18:51|0|0:25:11|0|
88|sun-man-man|17|0:25:17|0:03:53|0|0:06:42|1|0:13:35|0|0:20:17|0|
89|Jesko|17|0:25:33|0:03:09|0|0:07:27|0|0:19:05|0|0:25:33|0|
90|ttjtftx|17|0:25:39|0:01:31|0|0:06:17|0|0:17:02|0|0:25:39|0|
91|b99202021|17|0:25:43|0:06:53|0|0:09:46|0|0:18:45|0|0:25:43|0|
92|keepPace|17|0:25:43|0:02:51|1|0:07:19|0|0:13:05|0|0:20:43|0|
93|raincoat911|17|0:25:53|0:02:47|0|0:05:25|1|0:09:56|0|0:20:53|0|
94|USF-CS|17|0:25:56|0:01:10|0|0:03:09|0|0:08:48|0|0:15:56|2|
95|zizhong|17|0:25:57|0:01:59|0|0:05:50|0|0:09:24|0|0:20:57|1|
96|sunsetcolors|17|0:26:07|0:02:10|0|0:05:30|0|0:13:34|0|0:21:07|1|
97|coder206|17|0:26:08|0:01:55|0|0:04:39|0|0:14:01|0|0:26:08|0|
98|julianzhao0101|17|0:26:08|0:01:52|0|0:04:20|0|0:11:27|0|0:21:08|1|
99|wanji00|17|0:26:15|0:02:11|0|0:04:14|0|0:12:48|0|0:26:15|0|
100|agoodusername|17|0:26:20|0:02:20|0|0:06:00|0|0:10:50|0|0:21:20|1|
101|PiggyHead|17|0:26:33|0:21:33|0|0:18:40|1|0:16:23|0|0:12:04|0|
102|lilidavid|17|0:26:35|0:05:55|0|0:07:41|1|0:15:07|0|0:21:35|0|
103|meng-duan|17|0:26:36|0:02:37|0|0:08:04|0|0:17:31|0|0:26:36|0|
104|XuhuiWang|17|0:26:39|0:02:55|0|0:06:49|0|0:14:05|0|0:26:39|0|
105|jeremyzhang96|17|0:26:40|0:02:18|0|0:07:11|0|0:20:26|0|0:26:40|0|
106|objectkuan|17|0:26:42|0:03:03|0|0:10:06|0|0:17:56|0|0:26:42|0|
107|yesot715|17|0:26:46|0:04:30|0|0:09:26|1|0:16:00|0|0:21:46|0|
108|kasperyang|17|0:26:48|0:02:18|0|0:10:47|0|0:16:02|0|0:26:48|0|
