Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
1|arignote|18|0:11:10|0:01:11|0|0:04:36|0|0:06:16|0|0:11:10|0|
2|uwi|18|0:12:24|0:00:48|0|0:03:46|0|0:07:00|0|0:12:24|0|
3|superluminal|18|0:12:59|0:00:51|0|0:05:03|0|0:08:03|0|0:12:59|0|
4|liouzhou_101|18|0:13:19|0:01:13|0|0:04:32|0|0:08:17|0|0:13:19|0|
5|pku_erutan|18|0:14:18|0:01:14|0|0:04:06|0|0:08:27|0|0:14:18|0|
6|aropan|18|0:15:00|0:01:30|0|0:05:32|0|0:09:05|0|0:15:00|0|
7|lucifer1006|18|0:15:19|0:01:10|0|0:04:32|0|0:09:34|0|0:15:19|0|
8|Heltion|18|0:15:20|0:01:01|0|0:03:06|0|0:05:22|0|0:10:20|1|
9|tsreaper|18|0:16:12|0:01:05|0|0:03:07|0|0:08:31|0|0:16:12|0|
10|i_love_xiaoshagua_cpp|18|0:16:16|0:01:32|0|0:04:37|0|0:08:02|0|0:16:16|0|
11|vibrant-mayerhct|18|0:16:32|0:02:02|0|0:05:21|0|0:11:05|0|0:16:32|0|
12|thuczh|18|0:17:26|0:01:32|0|0:06:07|0|0:10:51|0|0:17:26|0|
13|skywalkert|18|0:18:18|0:13:16|0|0:18:18|0|0:03:37|0|0:12:34|0|
14|natsugiri|18|0:18:45|0:01:39|0|0:05:24|0|0:10:53|0|0:18:45|0|
15|first_vil|18|0:18:54|0:01:25|0|0:07:46|0|0:11:21|0|0:18:54|0|
16|w285714|18|0:19:33|0:01:02|0|0:06:20|0|0:11:20|0|0:19:33|0|
17|LighTcml|18|0:20:11|0:01:02|0|0:06:00|0|0:12:49|0|0:20:11|0|
18|jianghd1996|18|0:20:54|0:01:13|0|0:06:09|0|0:12:13|0|0:20:54|0|
19|MonthlyMango|18|0:21:00|0:01:07|0|0:05:19|0|0:11:39|0|0:21:00|0|
20|nicholask_17|18|0:21:01|0:01:18|0|0:04:28|0|0:10:53|0|0:16:01|1|
21|2000mwk|18|0:21:14|0:01:21|0|0:04:27|0|0:15:08|0|0:21:14|0|
22|Kude|18|0:21:23|0:01:21|0|0:05:46|0|0:12:17|0|0:21:23|0|
23|sweetpotato2|18|0:22:05|0:01:50|0|0:07:19|0|0:11:46|0|0:22:05|0|
24|zcgzcgzcg|18|0:22:20|0:01:21|0|0:03:50|0|0:08:24|0|0:22:20|0|
25|zokumyoin|18|0:22:23|0:01:28|0|0:12:09|0|0:06:02|0|0:22:23|0|
26|ling-jian-2012|18|0:22:49|0:01:22|0|0:07:30|0|0:15:08|0|0:22:49|0|
27|heyshb|18|0:23:00|0:00:52|0|0:23:00|0|0:06:24|0|0:14:27|0|
28|ykx_akks|18|0:23:01|0:01:15|0|0:05:41|0|0:10:33|0|0:23:01|0|
29|ZhuolinYang|18|0:23:11|0:23:11|0|0:21:43|0|0:19:05|0|0:13:53|0|
30|wxy9018|18|0:23:19|0:01:29|0|0:05:54|0|0:13:55|0|0:23:19|0|
31|han3000|18|0:23:19|0:01:13|0|0:07:27|0|0:14:32|0|0:23:19|0|
32|14417335|18|0:23:21|0:01:19|0|0:05:56|0|0:12:54|0|0:23:21|0|
33|koishi514|18|0:23:41|0:01:23|0|0:05:47|0|0:13:33|0|0:23:41|0|
34|for-you-9|18|0:23:52|0:01:07|0|0:05:58|0|0:09:50|0|0:18:52|1|
35|radiancesheep|18|0:23:54|0:01:12|0|0:05:56|0|0:15:00|0|0:23:54|0|
36|SaveVMK|18|0:23:59|0:01:56|0|0:06:42|0|0:16:58|0|0:23:59|0|
37|newhar|18|0:24:03|0:01:45|0|0:05:54|0|0:13:38|0|0:24:03|0|
38|_Hy3|18|0:24:18|0:03:45|0|0:09:36|0|0:17:56|0|0:24:18|0|
39|EagleEyeKestrel|18|0:24:19|0:01:45|0|0:05:15|0|0:11:45|0|0:24:19|0|
40|xi-jun-xiao-zi|18|0:24:29|0:01:31|0|0:07:53|0|0:15:07|0|0:24:29|0|
41|plus2047|18|0:24:46|0:01:33|0|0:07:00|0|0:12:57|0|0:24:46|0|
42|libricardo|18|0:24:46|0:01:59|0|0:06:29|0|0:14:29|1|0:19:46|0|
43|ASAPIN|18|0:24:47|0:00:45|0|0:04:02|0|0:06:03|0|0:24:47|0|
44|darrenhp|18|0:24:48|0:01:02|0|0:06:02|0|0:12:51|0|0:24:48|0|
45|sun-man-man|18|0:24:52|0:01:17|0|0:07:05|0|0:12:03|0|0:24:52|0|
46|wincss|18|0:24:59|0:01:31|0|0:06:15|0|0:12:41|0|0:24:59|0|
47|Kaizyn|18|0:25:01|0:02:00|0|0:05:10|0|0:12:17|0|0:20:01|1|
48|DeadlyCritic|18|0:25:54|0:01:21|0|0:05:39|0|0:09:28|0|0:20:54|1|
49|xyzzzzzzzz|18|0:25:57|0:02:10|0|0:17:32|0|0:21:11|0|0:25:57|0|
50|naivebird|18|0:26:06|0:01:56|0|0:06:17|0|0:12:08|0|0:26:06|0|
51|MeLia|18|0:26:22|0:01:08|0|0:07:16|0|0:14:30|0|0:26:22|0|
52|qqapp|18|0:26:31|0:01:32|0|0:04:27|0|0:11:03|1|0:21:31|0|
53|lxylxy123456|18|0:26:38|0:01:00|0|0:05:38|0|0:12:13|0|0:21:38|1|
54|myheimu|18|0:26:39|0:01:07|0|0:06:24|0|0:13:16|0|0:26:39|0|
55|vipjml|18|0:26:42|0:01:26|0|0:06:16|0|0:10:50|0|0:21:42|1|
