Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
65|ykx_akks|18|1:38:36|0:02:13|0|0:15:01|1|0:25:46|0|1:28:36|1|
66|bartsun|18|1:40:04|0:01:43|0|0:06:45|0|0:28:51|0|1:05:04|7|
67|hyta4982|18|1:41:03|0:04:22|0|0:11:11|0|0:29:54|0|1:21:03|4|
68|simon1024|18|1:41:05|0:04:34|0|0:16:04|0|0:22:53|0|1:16:05|5|
69|QYHamster|18|1:43:23|0:03:26|0|0:06:51|0|0:21:43|2|1:28:23|1|
70|gnocuil22|18|1:46:06|0:03:49|0|1:17:12|1|0:18:55|0|1:26:06|3|
71|zzzzchs|18|1:47:10|0:03:48|0|0:21:07|3|0:36:44|0|1:27:10|1|
72|foorest|18|1:48:00|0:02:25|0|0:10:22|1|0:19:35|0|1:28:00|3|
73|huanglanzhiguan|18|1:48:02|0:03:07|0|0:11:41|1|0:25:36|1|1:28:02|2|
74|HanaYukii|18|1:48:46|0:04:49|0|0:02:49|1|0:11:42|1|1:03:46|7|
75|hosea|18|1:49:36|0:04:05|0|0:15:52|1|0:34:02|2|1:24:36|2|
76|user6987q|18|1:52:41|0:02:55|0|0:33:16|2|0:24:51|0|1:27:41|3|
77|vipjml|18|1:53:10|0:02:33|0|0:08:11|0|0:23:52|2|1:28:10|3|
78|lddlinan|18|1:53:11|0:03:03|0|0:21:43|4|0:23:04|0|1:03:11|6|
79|coder206|18|1:54:00|0:03:23|0|0:10:39|0|0:29:49|3|1:24:00|3|
80|li-kou-xiao-bai-be|18|1:55:00|0:06:06|1|0:10:09|0|0:18:52|0|1:25:00|5|
81|EagleEyeKestrel|18|1:56:41|0:02:28|0|0:11:49|0|0:36:01|2|1:26:41|4|
82|milesian-c|18|1:57:07|0:13:40|1|0:23:24|1|0:23:18|0|1:17:07|6|
83|for-you-9|18|2:00:12|0:02:28|0|0:09:13|0|0:35:05|0|1:20:12|8|
84|zhou2003|18|2:01:18|0:02:27|0|0:19:59|1|0:29:38|3|1:06:18|7|
85|OOovoOO|18|2:03:31|0:16:29|0|0:22:25|0|0:48:02|5|1:28:31|2|
86|huaji035|18|2:04:40|0:01:59|0|0:07:06|1|0:13:57|0|1:19:40|8|
87|qiye-5|18|2:04:45|0:03:38|0|0:21:09|0|0:29:42|4|1:24:45|4|
88|liuyuxiangzzz|18|2:08:14|0:04:42|1|0:12:31|3|0:33:36|2|1:18:14|4|
89|jing-wu|18|3:47:04|0:02:59|0|0:08:55|3|0:21:04|4|1:27:04|21|
90|rtmkz|14|1:52:43|0:03:28|0|-1|-1|0:37:57|5|1:17:43|2|
91|song-204|13|0:58:24|0:03:41|0|0:09:39|0|-1|-1|0:53:24|1|
92|cs142857|13|1:11:36|0:02:12|0|0:08:49|0|-1|-1|1:11:36|0|
